#UGCname	Othername	D	R25	R25	i	vsys	w20	MHI	Mbar	SFR	ṀHI
#Mpc	′	kpc	◦	km s-1	km s-1	109M⊙	109M⊙	M⊙/yr	M⊙/yr
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
UGC00094	NGC0026	68.61	0.56	11	47	4587	320	9.63	53.34	1.17	0.04
UGC00232	–	65.32	0.52	10	51	4837	275	7.61	38.40	1.95	0.10
UGC00485	–	58.91	1.15	20	83	5246	357	21.63	45.84	1.27	0.90
UGC00528	NGC0278	12.0	1.17	4	20	640	138	1.32	15.68	1.02	0.01
UGC00624	NGC0338	78.31	0.87	20	68	4770	560	15.61	173.95	5.14	1.09
UGC00625	IC0065	28.3	1.29	11	73	2628	360	7.68	27.05	1.12	0.74
UGC00690	–	74.51	0.85	18	46	5872	325	9.61	56.80	0.54	0.64
UGC00731	–	12.0	0.93	3	24	639	143	0.88	38.544	0.21	0.01
UGC00798	IC1654	69.42	0.50	10	40	4898	222	3.96	43.96	0.60	0.11
UGC01013	NGC0536	62.51	1.48	27	69	5187	525	8.26	109.87	1.25	0.28
UGC01256	NGC0672	8.3	3.54	9	67	431	240	7.56	13.99	0.18	0.01
UGC01437	NGC0753	54.52	0.69	11	51	4905	339	11.58	83.23	4.09	1.74
UGC01550	NGC0801	52.21	1.38	21	78	5764	470	15.86	75.68	2.33	0.17
UGC01633	NGC0818	58.11	1.09	18	70	4258	501	11.35	88.10	2.57	0.21
UGC01810	–	109.83	0.87	28	69	7578	602	31.64	210.16	2.37	0.88
UGC01856	–	41.32	1.07	13	81	4804	270	11.37	21.89	0.23	0.07
UGC01886	–	67.42	0.26	5	57	4854	502	25.67	121.29	0.85	0.33
UGC01913	NGC0925	9.2	5.36	14	58	552	222	3.85	12.90	0.64	<0.01
UGC01993	–	107.71	0.89	28	75	8018	526	13.70	95.49	1.24	1.03
UGC02045	NGC0972	21.7	1.66	10	61	1525	332	2.12	45.93	4.42	<0.01
UGC02069	–	36.61	0.62	7	55	3780	255	4.15	17.71	1.10	0.07
UGC02080	IC0239	10.0	2.13	6	24	902	135	5.46	11.52	0.16	0.01
UGC02082	–	14.7	2.56	11	79	702	215	1.36	4.64	0.04	0.01
UGC02141	NGC1012	24.7	1.04	8	60	987	233	2.20	17.53	1.36	1.33
UGC02154	NGC1023	10.2	3.71	11	70	695	482	2.21	44.83	0.78	0.01
UGC02183	NGC1056	21.7	0.93	6	61	1540	290	3.65	18.80	0.98	0.01
UGC02459	–	32.4	1.17	11	83	2467	337	12.30	31.48	0.59	1.28
UGC02487	NGC1167	72.23	0.91	19	41	4953	468	16.65	261.23	3.21	1.36
UGC02503	NGC1169	32.4	1.66	16	54	2391	461	9.69	95.99	1.12	0.12
UGC02800	–	18.91	1.17	6	60	1187	217	2.01	5.05	1.52	0.25
UGC02855	–	14.41	1.77	7	65	1196	453	6.35	49.22	2.22	0.02
UGC02916	–	68.02	0.66	13	24	4517	336	23.12	94.12	2.45	1.40
UGC03013	NGC1530	25.4	0.91	7	55	2459	341	8.98	53.03	2.07	0.03
UGC03137	–	22.1	1.90	12	78	993	216	4.41	9.32	0.15	0.02
UGC03205	–	47.62	0.66	9	66	3588	436	9.21	65.30	0.95	2.18
UGC03326	–	77.61	1.66	37	84	4060	532	19.48	135.84	2.38	0.05
UGC03334	NGC1961	59.53	2.23	39	50	3935	660	39.72	422.71	9.24	0.26
UGC03354	–	52.51	0.83	13	70	3085	441	8.89	68.85	3.22	0.02
UGC03382	–	67.23	0.63	12	21	4501	205	5.74	73.75	0.76	0.34
UGC03407	–	39.32	0.56	6	45	3602	312	1.75	22.06	0.70	1.17
UGC03422	–	77.22	0.91	20	62	4065	416	11.05	73.40	1.08	1.00
UGC03546	NGC2273	17.9	1.15	6	53	1836	339	1.95	19.09	0.56	0.21
UGC03574	–	17.1	0.74	4	30	1441	150	3.21	6.70	0.35	0.02
UGC03580	–	25.9	1.07	8	57	1198	236	3.81	12.87	0.48	0.02
UGC03642	–	67.42	0.76	15	41	4498	410	37.21	146.52	1.99	0.89
UGC03734	NGC2344	23.0	1.02	7	24	972	150	1.12	14.80	0.11	0.01
UGC03759	NGC2347	88.31	0.83	21	44	4416	468	22.39	200.89	5.72	0.40
UGC03993	–	66.33	0.42	8	24	4365	175	7.13	50.87	0.91	0.04
UGC04036	NGC2441	44.71	1.00	13	24	3469	141	4.07	31.61	0.89	0.11
UGC04165	NGC2500	15.0	1.23	5	25	515	113	0.97	6.82	0.35	<0.01
UGC04256	NGC2532	51.62	0.83	12	34	5256	175	6.73	56.96	3.70	0.10
UGC04273	NGC2543	26.3	1.23	9	62	2473	317	4.32	20.75	1.23	0.11
UGC04284	NGC2541	11.2	1.51	5	59	559	210	4.91	8.32	0.08	<0.01
UGC04458	NGC2599	68.63	0.77	15	32	4757	285	12.52	128.09	1.39	1.09
UGC04605	NGC2654	22.7	2.23	15	78	1354	430	6.32	35.50	0.82	0.01
UGC04666	NGC2685	16.0	2.18	10	58	876	303	1.96	17.39	0.14	0.22
UGC04806	NGC2770	25.5	1.73	13	76	1945	353	5.42	19.53	0.64	0.85
UGC04838	NGC2776	36.0	1.07	11	65	2626	202	6.24	44.41	1.53	0.03
UGC04862	NGC2782	42.1	1.62	20	42	2540	196	4.12	67.81	4.49	0.01
UGC05060	NGC2893	24.0	0.51	4	36	1700	187	0.92	6.66	0.42	0.05
UGC05079	NGC2903	8.5	6.01	15	63	555	390	3.95	39.88	0.95	<0.01
UGC05251	NGC3003	19.1	2.39	14	77	1481	294	8.89	20.10	0.40	0.02
UGC05253	NGC2985	16.6	1.82	9	36	1324	316	11.62	55.21	0.82	0.37
UGC05351	NGC3067	20.6	1.02	6	71	1487	281	0.91	15.67	1.17	0.01
UGC05452	NGC3118	20.6	1.04	6	78	1348	216	3.41	5.91	0.07	0.02
UGC05459	–	25.8	1.90	14	79	1108	282	4.82	18.06	0.48	0.02
UGC05532	NGC3147	39.8	2.04	24	29	2812	390	9.50	227.06	4.95	0.13
UGC05556	NGC3187	26.4	1.12	9	71	1582	276	1.09	5.48	0.48	0.06
UGC05557	NGC3184	13.0	3.71	14	21	593	146	3.95	32.47	0.20	0.01
UGC05589	NGC3206	25.8	1.15	9	59	1162	182	2.61	6.50	0.03	0.06
UGC05685	NGC3254	21.8	1.17	7	72	1359	378	4.71	24.34	0.22	0.10
UGC05717	NGC3259	24.0	0.85	6	58	1675	242	6.34	14.71	0.43	0.05
UGC05786	NGC3310	20.0	0.95	6	40	989	221	3.36	17.42	3.23	0.02
UGC05789	NGC3319	13.3	1.82	7	61	739	215	3.36	6.76	0.06	0.01
UGC05840	NGC3344	10.0	3.38	10	25	589	175	3.01	17.40	0.25	<0.01
UGC05906	NGC3380	26.1	0.77	6	27	1600	130	0.42	9.70	0.15	0.01
UGC05909	NGC3381	25.7	1.00	7	26	1633	146	2.12	9.07	0.34	0.02
UGC05918	–	10.0	1.23	4	12	338	78	0.25	0.57	0.09	<0.01
UGC05997	NGC3403	20.2	1.38	8	68	1261	303	4.09	12.89	0.46	0.03
UGC06024	NGC3448	24.0	1.48	10	73	1369	299	6.76	21.06	1.12	0.05
UGC06128	NGC3512	26.1	0.79	6	29	1388	187	0.98	13.03	0.35	0.01
UGC06225	NGC3556	9.6	1.99	6	65	698	341	3.48	22.10	0.81	0.02
UGC06263	NGC3583	33.0	1.12	11	56	2134	346	6.65	69.34	2.59	0.07
UGC06283	NGC3600	14.4	0.93	4	72	713	218	2.86	6.14	0.26	0.01
UGC06537	NGC3726	17.1	2.62	13	47	864	284	5.05	35.11	0.46	0.01
UGC06621	NGC3786	40.0	0.97	11	59	2745	418	4.56	42.88	1.27	0.02
UGC06778	NGC3893	17.1	1.35	7	58	968	311	4.76	31.95	1.59	0.99
UGC06786	NGC3900	22.5	1.29	8	61	1801	426	3.33	25.43	0.24	0.56
UGC06787	NGC3898	22.1	1.73	11	54	1170	446	3.96	57.99	0.96	1.12
UGC06833	NGC3930	12.6	1.35	5	42	918	161	0.99	7.00	0.36	0.01
UGC06870	NGC3953	19.21	3.09	17	62	1051	403	2.35	72.36	0.30	0.09
UGC06884	NGC3963	49.12	1.26	18	27	3189	131	8.21	68.56	1.76	0.09
UGC06930	–	17.1	0.71	4	42	778	141	2.52	4.77	0.19	0.01
UGC06964	NGC4010	19.11	1.55	9	78	905	278	1.40	8.52	0.28	0.01
UGC07030	NGC4051	17.2	2.45	12	40	704	241	1.43	33.28	0.86	0.01
UGC07081	NGC4088	14.51	3.54	15	68	756	381	4.15	32.18	1.51	0.01
UGC07095	NGC4100	20.31	2.29	14	74	1075	402	3.02	35.53	1.21	0.03
UGC07183	NGC4157	18.0	3.08	16	80	771	422	6.29	54.12	1.69	0.03
UGC07222	NGC4183	16.41	2.13	10	81	931	247	2.95	7.98	0.20	0.01
UGC07256	NGC4203	15.1	1.69	7	65	1088	270	2.34	33.99	0.10	<0.01
UGC07321	–	6.0	2.39	4	86	407	210	0.34	0.72	0.08	0.01
UGC07399	NGC4288	9.2	0.85	2	41	535	165	0.74	1.35	0.35	0.01
UGC07483	NGC4359	16.3	0.69	3	53	1271	199	1.13	3.14	0.21	0.01
UGC07489	NGC4369	11.2	1.00	3	17	1029	88	0.43	4.83	0.33	0.02
UGC07506	NGC4384	36.0	0.63	7	39	2532	176	1.13	12.87	0.84	0.20
UGC07766	NGC4559	8.7	5.24	13	63	814	256	5.43	16.21	0.22	<0.01
UGC07989	NGC4725	12.4	4.89	18	45	1210	398	5.02	71.56	1.06	1.03
UGC08307	NGC5033	19.11	9.77	54	65	875	425	10.43	88.98	1.76	1.27
UGC08403	NGC5112	18.5	1.51	8	52	969	215	3.12	8.53	0.35	0.01
UGC08699	NGC5289	30.9	1.17	11	72	2518	352	2.76	18.81	0.23	0.02
UGC08709	NGC5297	30.9	1.86	17	76	2405	414	12.73	50.61	1.05	0.09
UGC08711	NGC5301	20.2	1.99	12	78	1508	336	3.56	18.33	0.81	0.04
UGC08863	NGC5377	28.0	1.82	15	67	1791	382	2.24	47.16	0.42	0.01
UGC08900	NGC5395	52.72	1.26	19	62	3458	565	11.21	143.67	3.53	0.25
UGC09242	–	27.9	2.08	17	86	1438	215	3.20	6.43	0.21	0.01
UGC09366	NGC5676	38.9	1.82	21	63	2121	462	6.41	137.46	5.76	1.09
UGC09431	NGC5714	38.71	1.41	16	80	2242	356	7.51	29.58	0.66	0.14
UGC09644	–	97.93	0.57	16	20	6664	136	7.12	42.84	1.28	0.11
UGC09753	NGC5879	15.5	1.90	9	68	771	287	1.32	10.88	0.28	0.01
UGC09797	NGC5905	46.61	1.62	22	50	3393	374	22.70	73.72	2.56	1.25
UGC09858	–	32.2	1.95	18	78	2615	386	10.67	28.75	0.41	1.66
UGC09969	NGC5985	43.7	1.99	25	60	2515	542	10.76	144.58	1.19	0.14
UGC10359	NGC6140	16.0	1.04	5	44	908	221	5.41	11.61	0.14	0.01
UGC10445	–	18.1	0.95	5	45	962	159	2.23	6.94	0.16	0.05
UGC10448	NGC6186	154.02	0.79	35	41	11352	118	9.56	439.96	8.82	0.02
UGC10470	NGC6217	23.0	1.12	7	34	1355	192	5.94	30.66	1.86	0.02
UGC10497	–	65.62	0.59	11	65	4296	267	8.93	21.34	0.36	0.17
UGC10564	NGC6237	21.0	0.62	4	52	1129	175	5.64	11.08	0.27	0.03
